		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    0    0    1    0    0 18.312482 0.019002 SUCCESS   0
000000011    0    0    1    0    0    1    0    0 16.680701 0.033611 SUCCESS   1
000000101    0    0    1    0    1    0    0    1 15.048921 0.058201 SUCCESS   2
000000111    0    0    1    0    0    1    0    1 15.048921 0.058201 SUCCESS   3
000001001    0    0    0    1    0    0    0    1 16.680701 0.033611 SUCCESS   4
000001011    0    0    1    0    1    1    1    1 11.785361 0.161041 SUCCESS   5
000001101    1    0    0    0    0    0    0    0 18.312482 0.019002 SUCCESS   6
000001111    0    0    0    3    0    1    0    1 14.327363 0.073622 SUCCESS   7
000010001    0    0    0    0    0    0    0    0 19.944262 0.010549 SUCCESS   8
000010011    0    0    0    1    0    0    0    0 18.312482 0.019002 SUCCESS   9
000010101    1    0    1    0    0    1    1    0 13.417141 0.098280 SUCCESS  10
000010111    1    0    0    1    0    1    1    2 11.000915 0.201647 SUCCESS  11
000011001    0    0    0    3    0    2    0    0 15.174697 0.055836 SUCCESS  12
000011011    2    0    0    1    1    0    2    0 11.848249 0.158104 SUCCESS  13
000011101    0    0    1    1    2    0    0    1 12.632695 0.125128 SUCCESS  14
000011111    1    1    0    2    0    3    1    2  7.863131 0.446953 SUCCESS  15
000100011    0    0    0    0    1    0    0    0 18.312482 0.019002 SUCCESS  16
000100101    0    0    0    1    0    1    0    0 16.680701 0.033611 SUCCESS  17
000100111    0    1    1    2    0    1    0    0 12.632695 0.125128 SUCCESS  18
000101001    0    1    1    1    0    1    0    0 13.417141 0.098280 SUCCESS  19
000101011    1    1    2    0    0    1    1    2  8.584688 0.378532 SUCCESS  20
000101101    1    0    0    0    0    1    1    0 15.048921 0.058201 SUCCESS  21
000101111    1    1    1    0    0    0    3    0 12.695583 0.122762 SUCCESS  22
000110011    0    0    4    2    0    1    0    0 14.453139 0.070693 SUCCESS  23
000110101    1    0    0    1    0    1    0    0 15.048921 0.058201 SUCCESS  24
000110111    0    1    1    2    2    1    2    1  6.168462 0.628368 SUCCESS  25
000111001    1    2    1    2    0    2    0    1  7.800242 0.453223 SUCCESS  26
000111011    0    0    5    1    2    2    0    0 13.794469 0.087282 SUCCESS  27
000111101    1    2    1    1    1    1    1    1  6.105574 0.635407 SUCCESS  28
000111111    3    1    1    4    4    2    6    3  9.590898 0.294921 SUCCESS  29
001000011    0    1    0    1    0    2    0    1 12.632695 0.125128 SUCCESS  30
001000101    0    0    0    0    1    1    0    0 16.680701 0.033611 SUCCESS  31
001000111    2    0    1    1    2    0    0    0 11.848249 0.158104 SUCCESS  32
001001011    1    1    0    2    0    1    1    1  9.369135 0.312119 SUCCESS  33
001001101    1    0    1    1    1    3    2    0  8.647577 0.372892 SUCCESS  34
001001111    1    2    0    2    1    2    0    2  7.015796 0.534929 SUCCESS  35
001010011    0    3    1    1    1    1    1    1  7.800242 0.453223 SUCCESS  36
001010101    2    0    0    1    0    0    0    1 14.264475 0.075127 SUCCESS  37
001010111    2    3    5    3    2    0    5    2  8.617787 0.375557 SUCCESS  38
001011011    3    2    0    2    3    5    2    4  6.860231 0.551785 SUCCESS  39
001011101    0    3    1    3    0    3    0    5 11.566907 0.171598 SUCCESS  40
001011111    2    6    1    3    3    3    5    3  9.716674 0.285477 SUCCESS  41
001100101    1    1    0    1    1    2    2    1  6.952908 0.541722 SUCCESS  42
