		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    0    0    0    2    0    1    1    1 12.632695 0.125128 SUCCESS   0
000000011    4    0    3    3    3    3    2    6  9.590898 0.294921 SUCCESS   1
000000101    1    1    1    3    2    2    3    3  3.156454 0.924159 SUCCESS   2
000000111    3    3    2    3    6    4    3    4  8.147782 0.419169 SUCCESS   3
000001001    2    6    1    3    2    3    2    0  9.276457 0.319514 SUCCESS   4
000001011    3    2    1    3    3    4    5    1  6.075785 0.638743 SUCCESS   5
000001101    4    4    2    1    2    4    3    2  4.381117 0.821206 SUCCESS   6
000001111    3    1    4    0    3    4    4    5  9.590898 0.294921 SUCCESS   7
000010001    2    1    0    2    2    0    3    2  6.294238 0.614310 SUCCESS   8
000010011    2    8    1    1    3    4    1    2 17.091129 0.029174 SUCCESS   9
000010101    2    1    0    3    2    4    2    4  5.824233 0.666913 SUCCESS  10
000010111    4    2    2    2    4    0    5    4  8.680676 0.369946 SUCCESS  11
000011001    1    3    4    4    1    5    1    2  7.707565 0.462545 SUCCESS  12
000011011    2    3    3    1    3    6    6    3 12.321564 0.137423 SUCCESS  13
000011101    1    3    0    5    4    1    2    1  9.150681 0.329745 SUCCESS  14
000011111    1    1    7    3    3    4    3    5 14.863567 0.061853 SUCCESS  15
000100011    2    1    3    3    3    1    3    2  2.434896 0.964698 SUCCESS  16
000100101    3    2    2    1    0    1    4    1  6.420015 0.600293 SUCCESS  17
000100111    1    4    3    2    3    1    0    2  5.698457 0.680967 SUCCESS  18
000101001    0    2    3    0    1    2    1    4  8.051795 0.428427 SUCCESS  19
000101011    5    4    0    4    2    3    2    1  8.554899 0.381222 SUCCESS  20
000101101    3    3    0    2    0    6    0    1 14.108910 0.078971 SUCCESS  21
000101111    3    2    2    1    4    0    5    3  7.644677 0.468925 SUCCESS  22
000110011    4    3    4    4    4    2    0    1  7.770453 0.456208 SUCCESS  23
000110101    2    1    6    3    3    2    1    3  7.707565 0.462545 SUCCESS  24
000110111    2    3    3    2    2    6    2    3  6.138673 0.631702 SUCCESS  25
000111001    3    4    1    5    3    3    0    3  7.770453 0.456208 SUCCESS  26
000111011    2    4    1    3    3    4    2    2  3.470895 0.901437 SUCCESS  27
000111101    3    1    2    2    2    4    2    1  3.219342 0.919848 SUCCESS  28
000111111    0    0    5    3    1    1    3    4 10.845349 0.210617 SUCCESS  29
001000011    1    1    2    4    4    5    2    1  7.644677 0.468925 SUCCESS  30
001000101    2    4    4    1    1    1    2    2  4.914011 0.766726 SUCCESS  31
001000111    3    1    2    2    4    3    4    3  3.533783 0.896552 SUCCESS  32
001001011    4    1    3    1    2    2    2    2  3.219342 0.919848 SUCCESS  33
001001101    6    2    0    1    3    4    1    3 11.034014 0.199779 SUCCESS  34
001001111    0    4    3    1    4    0    3    1  9.087793 0.334944 SUCCESS  35
001010011    0    2    3    2    2    2    4    2  4.066676 0.851058 SUCCESS  36
001010101    0    1    7    1    1    0    0    2 19.004251 0.014837 SUCCESS  37
001010111    3    1    0    5    4    3    3    3  7.770453 0.456208 SUCCESS  38
001011011    4    4    2    2    1    6    3    2  8.743564 0.364388 SUCCESS  39
001011101    2    0    2    1    1    2    1    2  5.384016 0.715853 SUCCESS  40
001011111    2    1    2    2    4    1    4    2  4.129564 0.845248 SUCCESS  41
001100101    3    2    5    3    3    1    2    1  5.102675 0.746548 SUCCESS  42
001100111    1    5    2    1    3    2    4    2  5.950009 0.652832 SUCCESS  43
001101011    2    1    5    1    2    1    1    2  6.482903 0.593305 SUCCESS  44
001101101    1    0    1    4    4    6    5    2 14.612015 0.067143 SUCCESS  45
001101111    3    1    3    2    1    2    4    2  3.282230 0.915418 SUCCESS  46
001110101    0    3    4    3    4    1    1    0  9.087793 0.334944 SUCCESS  47
001110111    2    3    0    3    0    2    3    2  5.635568 0.687978 SUCCESS  48
001111011    1    1    1    1    3    1    5    1  8.114683 0.422349 SUCCESS  49
001111101    3    3    3    3    0    1    2    2  4.066676 0.851058 SUCCESS  50
001111111    0    1    4    1    2    0    2    6 13.324464 0.101163 SUCCESS  51
010000011    4    4    0    3    2    8    3    0 20.606242 0.008270 FAILURE  52
010000111    4    3    2    5    5    4    3    3  8.210670 0.413167 SUCCESS  53
010001011    2    3    0    1    2    0    3    2  6.357126 0.607295 SUCCESS  54
010001111    2    2    2    3    4    3    1    1  3.282230 0.915418 SUCCESS  55
010010011    3    3    4    5    4    1    2    3  6.264449 0.617636 SUCCESS  56
